"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio",Anúncios,Idade,Gênero,Dia,"Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)",Compras,"Custo por compra","Valor de conversão da compra","Cliques no link","CPC (custo por clique no link)","Cliques (todos)","CPC (todos)","CPM (custo por 1.000 impressões)","CTR (todos)",Visualizações,"Taxa de compras por visualizações da página de destino","Custo por 1.000 contas da Central de Contas alcançadas","Veiculação do anúncio","Veiculação do conjunto de anúncios","Veiculação da campanha","Início dos relatórios","Término dos relatórios"
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",65+,male,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,5,6,1.2,BRL,0.09116327,,,,,,0,0,15.19387755,0,,0,18.23265306,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",65+,male,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,9,19,2.11111111,BRL,0.22170063,,,,,,0,0,11.66845434,0,,0,24.63340361,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",25-34,unknown,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,2,3,1.5,BRL,0.28123457,,,,1,0.28123457,3,0.09374486,93.74485597,100,,0,140.61728395,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",35-44,female,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,83,105,1.26506024,BRL,1.45861224,,,,1,1.45861224,3,0.48620408,13.89154519,2.85714286,,0,17.5736415,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",25-34,male,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,596,669,1.12248322,BRL,3.84952916,,,,6,0.64158819,9,0.42772546,5.75415421,1.34529148,,0,6.45894155,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",45-54,male,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,63,73,1.15873016,BRL,1.03104693,,,,,,0,0,14.12393057,0,,0,16.36582431,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",65+,female,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,1,1,1,BRL,0.01004409,,,,,,0,0,10.04409171,0,,0,10.04409171,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",25-34,female,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,277,338,1.22021661,BRL,3.04890476,,,,2,1.52445238,3,1.01630159,9.02042829,0.88757396,,0,11.0068764,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",65+,male,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,7,10,1.42857143,BRL,0.19205776,,,,,,0,0,19.20577617,0,,0,27.4368231,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",35-44,unknown,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,3,3,1,BRL,0.02021661,,,,,,0,0,6.73886883,0,,0,6.73886883,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",35-44,male,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,290,324,1.11724138,BRL,3.26504568,2,1.63252284,34.3,3,1.08834856,5,0.65300914,10.07730148,1.54320988,,100,11.2587782,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",65+,female,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,2,3,1.5,BRL,0,,,,,,0,0,0,0,,0,0,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",65+,male,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,5,6,1.2,BRL,0.18158859,,,,,,0,0,30.26476578,0,,0,36.31771894,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","[CBO CONVERSÃO PPES] - CAMPEÃO 06.10","03- ESTADO [ES -MG- RJ]  - 18 A 44 ANOS","IMAGEM 3 - PPES - 03.10","IMAGEM 3 - PPES - 03.10",35-44,female,2025-10-21,103891466123901,120238235098310385,120238235098340385,120238235098290385,51,56,1.09803922,BRL,0.89968049,,,,,,0,0,16.06572303,0,,0,17.64079391,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",55-64,male,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,8,9,1.125,BRL,0.03038776,,,,,,0,0,3.37641723,0,,0,3.79846939,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","[CBO CONVERSÃO PPES] - CAMPEÃO 06.10","03- ESTADO [ES -MG- RJ]  - 18 A 44 ANOS","IMAGEM 3 - PPES - 03.10","IMAGEM 3 - PPES - 03.10",35-44,male,2025-10-21,103891466123901,120238235098310385,120238235098340385,120238235098290385,134,157,1.17164179,BRL,2.86078178,,,,6,0.47679696,7,0.40868311,18.22154001,4.45859873,,0,21.34911777,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",35-44,female,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,123,147,1.19512195,BRL,1.31407942,,,,,,0,0,8.9393158,0,,0,10.68357254,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","[CBO CONVERSÃO PPES] - CAMPEÃO 06.10","03- ESTADO [ES -MG- RJ]  - 18 A 44 ANOS","IMAGEM 3 - PPES - 03.10","IMAGEM 3 - PPES - 03.10",45-54,female,2025-10-21,103891466123901,120238235098310385,120238235098340385,120238235098290385,14,18,1.28571429,BRL,0.64696125,,,,,,0,0,35.94229171,0,,0,46.21151792,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",45-54,female,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,16,17,1.0625,BRL,0.50386507,,,,,,0,0,29.63912199,0,,0,31.49156711,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",18-24,female,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,173,201,1.16184971,BRL,1.2408554,,,,1,1.2408554,1,1.2408554,6.17340994,0.49751244,,0,7.17257455,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",45-54,male,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,33,46,1.39393939,BRL,0.77679566,,,,,,0,0,16.88686207,0,,0,23.53926228,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",55-64,female,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,2,2,1,BRL,0.02021661,,,,,,0,0,10.10830325,0,,0,10.10830325,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",25-34,female,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,352,424,1.20454545,BRL,2.99295854,,,,2,1.49647927,3,0.99765285,7.05886448,0.70754717,,0,8.50272312,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",55-64,male,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,7,7,1,BRL,0.41180776,,,,,,0,0,58.82968002,0,,0,58.82968002,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",18-24,female,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,60,77,1.28333333,BRL,0.43555782,,,,1,0.43555782,1,0.43555782,5.65659511,1.2987013,,0,7.25929705,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",55-64,female,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,2,2,1,BRL,0.02008818,,,,,,0,0,10.04409171,0,,0,10.04409171,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",35-44,male,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,205,270,1.31707317,BRL,3.18058503,,,,3,1.06019501,3,1.06019501,11.77994457,1.11111111,,0,15.51504895,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","[CBO CONVERSÃO PPES] - CAMPEÃO 06.10","03- ESTADO [ES -MG- RJ]  - 18 A 44 ANOS","IMAGEM 3 - PPES - 03.10","IMAGEM 3 - PPES - 03.10",18-24,female,2025-10-21,103891466123901,120238235098310385,120238235098340385,120238235098290385,20,23,1.15,BRL,0.42456832,,,,,,0,0,18.45949221,0,,0,21.22841604,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",25-34,female,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,145,186,1.28275862,BRL,1.92846561,,,,,,0,0,10.36809467,0,,0,13.29976282,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",55-64,male,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,3,3,1,BRL,0.08070604,,,,,,0,0,26.90201403,0,,0,26.90201403,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",35-44,unknown,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,2,2,1,BRL,0.0202585,,,,,,0,0,10.1292517,0,,0,10.1292517,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",45-54,unknown,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,1,1,1,BRL,0,,,,,,0,0,0,0,,0,0,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",35-44,female,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,126,147,1.16666667,BRL,1.61236824,,,,1,1.61236824,2,0.80618412,10.9684914,1.36054422,,0,12.7965733,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",25-34,male,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,453,533,1.17660044,BRL,3.56823105,2,1.78411552,34.3,1,3.56823105,2,1.78411552,6.69461735,0.37523452,,200,7.87688973,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",65+,female,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,2,2,1,BRL,0,,,,,,0,0,0,0,,0,0,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",18-24,male,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,57,63,1.10526316,BRL,0.54238095,,,,,,0,0,8.60922147,0,,0,9.5154553,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO PCPI - ATUALIZADO 23.09","ESTADOS ABERTO","IMAGEM ATUALIZADA 2","IMAGEM ATUALIZADA 2",35-44,male,2025-10-21,103891466123901,120233437699530385,120233437699510385,120233438117660385,255,290,1.1372549,BRL,3.03249097,,,,1,3.03249097,5,0.60649819,10.45686543,1.72413793,,0,11.89212147,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",55-64,female,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,2,2,1,BRL,0.02017651,,,,,,0,0,10.08825526,0,,0,10.08825526,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",45-54,male,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,48,56,1.16666667,BRL,1.06467372,,,,1,1.06467372,2,0.53233686,19.01203074,3.57142857,,0,22.18070253,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","[CBO CONVERSÃO PPES] - CAMPEÃO 06.10","03- ESTADO [ES -MG- RJ]  - 18 A 44 ANOS","IMAGEM 3 - PPES - 03.10","IMAGEM 3 - PPES - 03.10",25-34,male,2025-10-21,103891466123901,120238235098310385,120238235098340385,120238235098290385,182,222,1.21978022,BRL,3.23480625,,,,2,1.61740313,2,1.61740313,14.57119934,0.9009009,,0,17.77366074,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",25-34,unknown,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,1,1,1,BRL,0.01012925,,,,,,0,0,10.1292517,0,,0,10.1292517,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",18-24,male,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,156,181,1.16025641,BRL,0.87767821,,,,1,0.87767821,1,0.87767821,4.84905087,0.55248619,,0,5.62614236,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",65+,male,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,1,1,1,BRL,0,,,,,,0,0,0,0,,0,0,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","[CBO CONVERSÃO PPES] - CAMPEÃO 06.10","03- ESTADO [ES -MG- RJ]  - 18 A 44 ANOS","IMAGEM 3 - PPES - 03.10","IMAGEM 3 - PPES - 03.10",55-64,male,2025-10-21,103891466123901,120238235098310385,120238235098340385,120238235098290385,13,15,1.15384615,BRL,1.28381373,,,,3,0.42793791,5,0.25676275,85.58758214,33.33333333,,0,98.75490247,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",35-44,female,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,60,64,1.06666667,BRL,1.10485009,,,,,,2,0.55242504,17.26328263,3.125,,0,18.41416814,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",45-54,male,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,64,70,1.09375,BRL,0.6953338,,,,,,0,0,9.93334003,0,,0,10.86459065,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PCPI - OTIMIZADA 01.10","00-  ESTADOS HOMENS - 25 A 44 ANOS [INSTAGRAM]","IMAGEM  NOVA 3 [campeão]","IMAGEM  NOVA 3 [campeão]",25-34,unknown,2025-10-21,103891466123901,120237904957610385,120237904957680385,120237904957600385,1,1,1,BRL,0,,,,,,0,0,0,0,,0,0,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO- COMBO 5 SIMULADOS PCPI - CRIATIVOS VENCEDORES- 15.10","03-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 03","CRIATIVO 03",18-24,male,2025-10-21,103891466123901,120238860372410385,120238860372430385,120238860372400385,137,165,1.20437956,BRL,0.6550246,,,,2,0.3275123,1,0.6550246,3.96984604,0.60606061,,0,4.78120143,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","CBO CONVERSÃO PPMG - CAMPEÃO 06/10","02- ESTADOS MG  - 18 A 44 ANOS — Cópia","NOVA IMAGEM 2 - PPMG","NOVA IMAGEM 2 - PPMG",45-54,female,2025-10-21,103891466123901,120238235047260385,120238235047290385,120238235047280385,24,26,1.08333333,BRL,1.18520282,,,,,,0,0,45.58472392,0,,0,49.38345091,active,active,active,2025-10-21,2025-10-21
"CONTA DE ADS - CHEGA JUNTO","COMBO 5 SIMULADOS PCPI - TESTE CRIATIVOS - 13.10","01-  ESTADOS ABERTO - 18 A 44 ANOS","CRIATIVO 01","CRIATIVO 01",18-24,male,2025-10-21,103891466123901,120238677706160385,120238677706230385,120238677706140385,109,146,1.33944954,BRL,1.42822449,,,,1,1.42822449,1,1.42822449,9.78235952,0.68493151,,0,13.10297697,active,active,active,2025-10-21,2025-10-21
